Fullness, Decoded, Time
1.200000, 1.000000, 41.000000
1.210000, 1.000000, 56.000000
1.220000, 1.000000, 56.000000
1.230000, 1.000000, 55.000000
1.240000, 1.000000, 1154.000000
1.250000, 1.000000, 62.000000
1.260000, 1.000000, 70.000000
1.270000, 1.000000, 91.000000
1.280000, 1.000000, 121.000000
1.290000, 1.000000, 76.000000
1.300000, 1.000000, 73.000000
1.310000, 1.000000, 78.000000
1.320000, 1.000000, 228.000000
1.330000, 1.000000, 94.000000
1.340000, 1.000000, 88.000000
1.350000, 1.000000, 112.000000
1.360000, 1.000000, 107.000000
1.370000, 1.000000, 118.000000
1.380000, 1.000000, 115.000000
1.390000, 1.000000, 251.000000
1.400000, 1.000000, 174.000000
1.410000, 1.000000, 150.000000
1.420000, 1.000000, 460.000000
1.430000, 1.000000, 188.000000
1.440000, 1.000000, 219.000000
1.450000, 1.000000, 5850.000000
1.460000, 1.000000, 498.000000
1.470000, 1.000000, 298.000000
1.480000, 1.000000, 547.000000
1.490000, 1.000000, 717.000000
1.500000, 1.000000, 1363.000000
1.510000, 1.000000, 1084.000000
1.520000, 1.000000, 895.000000
1.530000, 1.000000, 1568.000000
1.540000, 1.000000, 807.000000
1.550000, 0.000000, 1967.000000
1.560000, 0.000000, 1611.000000
1.570000, 0.000000, 2960.000000
1.580000, 0.000000, 1762.000000
1.590000, 0.000000, 1103.000000
1.600000, 0.000000, 944.000000
1.610000, 0.000000, 1100.000000
1.620000, 0.000000, 3462.000000
1.630000, 0.000000, 2614.000000
1.640000, 0.000000, 1868.000000
1.650000, 0.000000, 905.000000
1.660000, 0.000000, 2267.000000
1.670000, 0.000000, 793.000000
1.680000, 0.000000, 713.000000
1.690000, 0.000000, 788.000000
1.700000, 0.000000, 616.000000
1.710000, 0.000000, 546.000000
1.720000, 0.000000, 835.000000
1.730000, 0.000000, 482.000000
1.740000, 0.000000, 349.000000
1.750000, 0.000000, 413.000000
1.760000, 0.000000, 209.000000
1.770000, 0.000000, 414.000000
1.780000, 0.000000, 311.000000
1.790000, 0.000000, 619.000000